IfcAsymmetricIShapeProfileDef, OverallWidth, BottomFlangeWidth
IfcAsymmetricIShapeProfileDef, FlangeThickness, BottomFlangeThickness
IfcAsymmetricIShapeProfileDef, FilletRadius, BottomFlangeFilletRadius
IfcStructuralLoadTemperature, DeltaT_Constant, DeltaTConstant
IfcStructuralLoadTemperature, DeltaT_Y, DeltaTY
IfcStructuralLoadTemperature, DeltaT_Z, DeltaTZ
IfcProcedure, ProcedureType, PredefinedType
IfcBoundaryFaceCondition, LinearStiffnessByAreaX, TranslationalStiffnessByAreaX
IfcBoundaryFaceCondition, LinearStiffnessByAreaY, TranslationalStiffnessByAreaY
IfcBoundaryFaceCondition, LinearStiffnessByAreaZ, TranslationalStiffnessByAreaZ
IfcBoundaryEdgeCondition, LinearStiffnessByLengthX, TranslationalStiffnessByLengthX
IfcBoundaryEdgeCondition, LinearStiffnessByLengthY, TranslationalStiffnessByLengthY
IfcBoundaryEdgeCondition, LinearStiffnessByLengthZ, TranslationalStiffnessByLengthZ